sentence_text,original_row_index,List_Group,Condition,Direction,Source_File,Source_Type
"the employee ka services contract ke khatam hone ke baad terminated ho gaye.  
",8.0,1,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"if hum ab qurbani karenge toh hamare bhavishya ke pitaa-pootra faida uthayege.  
",15.0,1,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"you still job khatam hone ke baad bhi Jobseeker Allowance liyega.  
",14.0,1,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"Small chirdiya, gillihary and mice bne hain for the cat's diet. 



",12.0,1,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"Through it, sadasyata ka pratiasthan hota hai aur samaj ka physical maintenance sunischt hai. 



",17.0,1,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"Long waali aarthik depression ke chalne se aadmi ko khatinaiyyaan degi. 


",21.0,1,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"pehle bolne ka yeh hesitancy mere liye duhkhar tha, ab woh sukhkar ho gaya hai. 



",3.0,1,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"chotti chiriya, gillihari aur chuhe to jaise bhelly ke liye specially created appear. 



",12.0,1,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"Long time tak chalne wali economic depression ka aadmi ki hardship badha degi. 



",21.0,1,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"iske alaavaa, unhone Ghandhi ji ko jaanch karni kee anumati bhee dee.",11.0,1,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
"jahan raja aur desh saman ho, wahan vikalp ka prashn hee nahi uthata.",10.0,1,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
saat vahan pahunchana bachchon se kahiye ki apne badeon se aaspaas ke gaonon aur sheheron ke naam poochh kar aayein.,26.0,1,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
data integrity test soon after disc insert hoga.,19.0,1,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
bachchon ko apne bade logon se pehle wale gaon ya shahar ke naam puchhne ke liye kahen.,26.0,1,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
ve log kai vocational programmes chalate hain jinki duration alag-alag skills ke hisaab se hoti hai.,4.0,1,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
"jin jagah raja aur desh saman hain, vahan vikalp ka prashn hee nahin uthata.",10.0,1,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
"my pyare deshwaasiyon, yah kaha jata hai ki shiksha badh rahi hai.",24.0,1,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
there ek ke baad ek sabhi rajaon aur raja Kumaron ne machli par nishana sathan ke ka prayaas kiya kintu safalta haath nahi laga.,30.0,1,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
system ek responsible media aur ek vigilant society par nirbhar karta hai.,23.0,1,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
"mere bolne ki takleef, jo ek bar ek nuksaan tha, ab khushi hai.",3.0,1,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
bachchon se apne viddyo ke logon se puchhna kya hai ki aas-paas ke village ya town ka naam kya hai.,26.0,1,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
"Adhikar se, system nirbhar hai ek jimmedaar media aur ek satark samaj par.",23.0,1,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
"Mujhe bolne mein पहले दुःखकर lagta tha, lekin ab yeh सुखकर lagta hai.",3.0,1,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
"A few MT systems Japan-koriya, English-koriya ki सीमित विकसित प्रणालियां ho chuki hain.",18.0,1,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
long economic depression ka extreme effect man ke life par lagu hoga aur uski hardship bahut badh jayegi.,21.0,1,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
wahan ek ke baad ek sabhi rajaon aur raja ko fish par nishana sadhne ka prayas kiya kintu safalta haath nahin lagee.,30.0,1,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
"January, 1943 mein unhone 26 announced se independence day ke baad new programmes launch karne ki announcement ki.",16.0,1,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
ye english-hindi-english dictionary mein aap aasanii se hindi aur english shabdon ka arth dhundh sakte hain.,22.0,1,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
pichli trimahi ke doora kitam vastar swikaraya sima ke antargat hee thee.,20.0,1,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
"ab yaad hai, yeh process ke bas darshan ka pratinidhi kar rahe hain.",13.0,1,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
raaja aur desh ek ho toh koi alternative ka sawal hi nahin hota.,10.0,1,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
data integrity test *chale ga* jab hi disc daal jae.,19.0,1,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
price spread last quarter me acceptable range ke within rahi thi.,20.0,1,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
karmachari ke karar ki samapti par uski sevaen radh kar di gayi.,8.0,1,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
"yeh kee jaan pee jaati hai ke unkaa baat gaareebon ke liye hota hai, isliye unki aavaz zyaada sunii jaati hai.",1.0,1,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
"choti chidiya, gilhari aur chuhe toh billee ke liye hi bane hain.",12.0,1,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
"aur theek hai, ismey chaar museum, ek sculpture park aur ek open-air amphitheatre bhi shamil hain.",5.0,1,final_mistral_ect_hi_src,Eng-Matrix,final_mistral_ect_hi_src.csv,
"meeting mein, applicant ne yeh maang liya ki wo Krishan Sikand se chhod jaaye.",29.0,1,final_mistral_ect_hi_src,Eng-Matrix,final_mistral_ect_hi_src.csv,
"ab to ye sirf dikkat ka ek visual representation hee hai, samajh lo.",13.0,1,final_mistral_ect_hi_src,Eng-Matrix,final_mistral_ect_hi_src.csv,
kiyat ka vistan pichli timahi me swikarya siima ke andr raha tha.,20.0,1,final_mistral_matrix_en_src,Eng-Matrix,final_mistral_matrix_en_src.csv,
This value represents the burning dhvajon ke tarah ke sandarbh mein pichli baar pryukt hua jalte mana karta hai.,6.0,1,final_mistral_matrix_en_src,Eng-Matrix,final_mistral_matrix_en_src.csv,
"incident ke baad, Upara ke ladke aur ladkiyon ne meri taraf respect ke saath lagaya.",9.0,1,final_mistral_matrix_en_src,Eng-Matrix,final_mistral_matrix_en_src.csv,
"jise hi koi write karne wala disc inserted ho jaye, data integrity test shuru ho jayegi.",19.0,1,final_mistral_matrix_hi_src,Hin-Matrix,final_mistral_matrix_hi_src.csv,
ye medium se membership ko replace karke samaj ka physical maintenance bhi ensured hota hai.,17.0,1,final_mistral_matrix_hi_src,Hin-Matrix,final_mistral_matrix_hi_src.csv,
choti birds aur squirrels to maine billi ke liye hi appear karke lagti hain.,12.0,1,final_mistral_matrix_hi_src,Hin-Matrix,final_mistral_matrix_hi_src.csv,
ladkiya phir fail ho gaye... boys are toppers,,2,English_Translation,Human_Ref,,Gold_Injection
"Waise Shiv ji ki anniversary bhi hai aaj, unko tribute bhi hogaya aur apne India team ke batsmen ko bhi. Bahot hi gehra tweet!",,2,English_Translation,Human_Ref,,Gold_Injection
tu bi this thread karne laga bhai?,,2,English_Translation,Human_Ref,,Gold_Injection
"ye rashtaron ke kutneetik sambandhon ke beech kirkiri saabit ho sakti hai. 
",25.0,2,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"january 1943 mein unhone 26 tarikh swadheenata divas se naye karyakram shuru karne ki ghoosna ki.  
",16.0,2,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"negative payment balance vikasheel deshon mein ek common trend hai.  
",7.0,2,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"and because they supposedly bolte hain for the gareeb their aawaz gets heard more. 
",1.0,2,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"okay.  
",13.0,2,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"it can become irritant in the diplomatic relations between nations. 



",25.0,2,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"iske alava, yeh vyavastha jimmedar media aur satark samaj par nirbhar hai.  
",23.0,2,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"chunki maana jaata hai ki ve gareebon ke paax mein bolte hain, isliye unki aawaz zyada suni jaati hai.  
",1.0,2,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"lambaa samay tak chalne wali aarthik mandi aam aadmi ki kathinaaiyan badha degi.  
",21.0,2,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"data integrity test jab disc lagayenge tab se shuru hoga.  
",19.0,2,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"system ko ek responsible media aur ek vigilant society par depend karta hai. 



",23.0,2,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"my countrymen, yeh kaha hai ki seekhna growing hai.  
",24.0,2,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"भारत दावा करता है 111 परिक्षेत्रों वाले एकड़े 17,000 क्षेत्रफल बांग्लदेश सीमा में फैले हुए हैं. 



",27.0,2,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"bachaon ko  aaspaas gaonon ke naam  pur  badon se poochh kahin. 



",26.0,2,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"Now remember, these are just bus drshi pratiNidhItv of the process. 



",13.0,2,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"saath wahan pahunchna bacchon se kahiye ki apne bado se aaspaas ke gaon aur shaharon ke naam pooch kar aayen. 



",26.0,2,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"India ka Bangladesh ki seema mein 17,000 acres spread territory  wale 111 parikshetron par claims hai. 



",27.0,2,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"lekin sab logon ko abhi ye baat janchhi nahi ki ekta ka matlab sirf rajneetik ekta nahi hai. 



",2.0,2,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"Bharat ka Bangladesh ki seema mein 17,000 acre ka kshetrafal wala 111 parikshetron par dava hai.",27.0,2,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
data integrity check start ho jayegi jaise hi koi write able disk daalne yogy hoti hai.,19.0,2,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
"any other attractions meh chaar museum, ek sculpture ground aur ek open air ka stage shamil hain.",5.0,2,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
aur ve poor ke liye bolte hain isliye unki aawaz zyada suni jaati hai.,1.0,2,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
Is website ne English se Hindi dictionary aur Hindi se English dictionary dono provide karta hai.,22.0,2,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
mere bolne mein dikhayi di jani wali dardbhar hui baat ab khushi hai.,3.0,2,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
iske madhyam se membership ka pratisthan aur samaj ka bhautik anurakshan sunishchit hota hai.,17.0,2,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
last quarter ke dauran price expansion acceptable limit ke andar hi thi.,20.0,2,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
Data verification start ho jayegi jaise hi koi writable disk daal jati hai.,19.0,2,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
"chhote birds, bharal aur chhote chhipkaliyon ko lagta hai ki ve khaton ke diet ke liye vishesh roop se banaye gaye hain.",12.0,2,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
aglaa dora ek baraa badlaav karne se aaj ke haal ke bachchon ko aage ki suvidhaayein milengi.,15.0,2,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
mere deshwaalon ko kahaa hai ki seekhnaa badlaavaa hai.,24.0,2,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
Adverse प्रतिकूल संतुलन of payment भुगतान is a सामान्य प्रवृत्ति in विकासशील countries.,7.0,2,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
"Iske alaava, unhone Gandhi ji ko करने की अनुमति दी कि वो जाँच करे.",11.0,2,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
"Mere pyare deshvasiyon, iske baare mein kahaa hai ki shiksha badh rahi hai.",24.0,2,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
Ask children ko apne elders se ask karna hai ki apne around ke villages aur cities ke names find karke aaye.,26.0,2,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
iske madhyam se membership ka pratisthan aur samaj ka bhautik anurakshan ensured hota hai.,17.0,2,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
"Additionally, this system depends on responsible media aur vigilant society par.",23.0,2,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
yeh incident ke baad city ke ladke mujhe dhadakane lage.,9.0,2,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
aap ko phir se aap ke jobse ek baar aur 's allotment ke liye arji bharni pad sakti hai jab aap apni naukri samapt kar de.,14.0,2,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
baithak mein appealarthi ne anurodh kiya hai ki use krishn sikand chhod dena chahiye.,29.0,2,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
yeh site English se Hindi aur Hindi se English ke liye dictionary de sakti hai.,22.0,2,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
system par depend karti hai ek jawaabdaar media aur ek chalaane wala samaj.,23.0,2,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
"India ka claim hai 111 enclaves, jo 17,000 acre se zyaada bharat ke territory mein hain, lekin Bangladesh ke aapne area mein hain.",27.0,2,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
yeh vyavastha jimmadar media aur satark samaj par nirbhar hai.,23.0,2,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
ye medium se member-ship ka replacement aur samaj ka bhautik aurusthan kaam karte hain.,17.0,2,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
"isake alawa, unhen gandhiji ko jaanch karne ki anumati bhi di.",11.0,2,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
"a few machine translation (MT) systems like Japan to Korea, English to Korea, have been developed for limited vocabulary.",18.0,2,final_mistral_ect_hi_src,Eng-Matrix,final_mistral_ect_hi_src.csv,
"Rajinder Singh Bedi used to to aana aur saath hona, aur usko comfort dena.",28.0,2,final_mistral_ect_hi_src,Eng-Matrix,final_mistral_ect_hi_src.csv,
"""meri pyar ki deshvasiyonah, kahi hai ki shikshan hi progress hai.""",24.0,2,final_mistral_ect_hi_src,Eng-Matrix,final_mistral_ect_hi_src.csv,
baccchon se pooch ke aapke baadon se aaspaas ke saat gaawoon ke naam aayein.,26.0,2,final_mistral_matrix_en_src,Eng-Matrix,final_mistral_matrix_en_src.csv,
meeting mein apilarthi ne krishan sikand ko jaane ka anurodh kiya tha.,29.0,2,final_mistral_matrix_en_src,Eng-Matrix,final_mistral_matrix_en_src.csv,
"If hum aaj de te hain, toh aane wali peechee kaise naa milengee.",15.0,2,final_mistral_matrix_en_src,Eng-Matrix,final_mistral_matrix_en_src.csv,
Jobseeker banne ke liye aapko fir bhi aapki naukri khatam ho jane ke baad aapko arji bharni pad sakti hai.,14.0,2,final_mistral_matrix_hi_src,Hin-Matrix,final_mistral_matrix_hi_src.csv,
"paranthe sab logon ko abhi yeh baat samajh nahi ki unity ka matlab sirf political unity hi nahi hai, balki yeh **imposed** ho sakta hai.",2.0,2,final_mistral_matrix_hi_src,Hin-Matrix,final_mistral_matrix_hi_src.csv,
Rajinder Singh Bedi ne vīra jī ke saath bahut saare ghante āke baith ke rahte the aur unke saath together their illness ke baare mein jokes karte rahte.,28.0,2,final_mistral_matrix_hi_src,Hin-Matrix,final_mistral_matrix_hi_src.csv,
Koi bhi button press karo vote.,,3,English_Translation,Human_Ref,,Gold_Injection
"parents ko bolo boyfriend dhund de  ,  fir no family problems!",,3,English_Translation,Human_Ref,,Gold_Injection
apni kisi frnd ki help le ya sb thik ho jayega  . ,,3,English_Translation,Human_Ref,,Gold_Injection
"ab yaad hai, yeh process ke bas drshi pratinidhitv kar rahe hain. 
",13.0,3,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"baithak mein appeal-arthee ne anekha kiya hai ki usse krishna sikand chhod dena chahiye 
",29.0,3,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"par is hadees ke karan shahar ke ladke mujhe bhaav dene lage. 
",9.0,3,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"agar hum ab qurbani karenge toh hamara bhavishya peedhi  fayda uthayegi.  
",15.0,3,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"you will still have to claim jobseeker allowance again jab tumhara job khatam hoga. 



",14.0,3,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"this value represent the burning flags that were use in such a context the last time. 



",6.0,3,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"yedi hum aaj kurbani dete hain to uska fayda aane wali piddi ko milta hai.  
",15.0,3,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"yeh rashtaron ke kutneetik sambandhon ke beech kirkiri saabit ho sakti hai. 



",25.0,3,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"ab yaad hai, yeh process ke bas drshi pratibhed kar rahe hain.  
",13.0,3,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"meeting mein appellant ne kaha ki woh Krishan Sikand se chali jaaye.  
",29.0,3,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"now hi  reward of goodness keval goodness hee hoga. 



",13.0,3,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"Price spread last quarter mein tolerable limit mein tha.  
",20.0,3,final_gemma_ect_en_src,Eng-Matrix,final_gemma_ect_en_src.csv,
"In January 1943 he announced his naye  swadheenata ghoṣaṇa divas se shuru karyakram to be launched from 26 January. 



",16.0,3,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"Many raajaan try to shoot ek nishaana but were unsuccessful. 



",30.0,3,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"Where raja aur desh coincide there is no question of an alternative. 



",10.0,3,final_gemma_matrix_en_src,Eng-Matrix,final_gemma_matrix_en_src.csv,
"ye maan jalte dhvajon ka prati nithav karta hai jo ki is tarah ke sambandh mein last time used the. 


",6.0,3,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"par is ghatna ke karan shahar ke ladke mujhe regarded karne lage. 



",9.0,3,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
"इसके अतिरिक्त, unhone Gandhi ko conduct karne ki permission bhi di. 



",11.0,3,final_gemma_matrix_hindi_src,Hin-Matrix,final_gemma_matrix_hindi_src.csv,
but sab logon ko abhi ye baat jeenchee nahi ki ekta ka matlab sirf rajneetik ekta nahi hai.,2.0,3,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
"chunkee mana jata hai ki ve gareebon ke paksh mein bolte hain, isliye unki awaaz adhik suni jati hai.",1.0,3,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
"some systems Japan-Korea, English-Korea developed hain limited vocabulary ke liye.",18.0,3,final_llama_baseline_hi_src,Hin-Matrix,final_llama_baseline_hi_src.csv,
price spread last quarter me tolerable limit ke andar tha.,20.0,3,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
King aur desh mil jate hai to alternative ka koi sawal hi nahin hai.,10.0,3,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
media aur samaj ki jaagrukta par is system ka adhaar hai.,23.0,3,final_llama_baseline_hi_src,Eng-Matrix,final_llama_baseline_hi_src.csv,
employee ka contract ki samapti par uski sevaaen radd kar di gayi.,8.0,3,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
meeting mein applicant ne request kiya hai ki use Krishna Sikand chhod dena chahiye,29.0,3,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
"India ka Bangladesh ki simeen mein 17,000 ekada kshetraphal wale 111 parikshetron par dava hai.",27.0,3,final_llama_ect_hi_src,Hin-Matrix,final_llama_ect_hi_src.csv,
yeh international relations me ek irritation ban sakta hai.,25.0,3,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
"Jahaan king aur desh milte hain, vahin koi alternative ka sawaal nahin hai.",10.0,3,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
ab aapko yeh baat yaad rakhna hoga.,13.0,3,final_llama_ect_hi_src,Eng-Matrix,final_llama_ect_hi_src.csv,
Rajinder Singh Bedi use karte the ve ghante vira se unke saath bithake aur unki bimari ke liye unhe console karte the.,28.0,3,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
"India दावा करती है कि 111 परिक्षेत्रों पर 17,000 एकड़े क्षेत्रफल पर बांग्लदेश सीमा में फैले हुए हैं।",27.0,3,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
Small छोटी चिड़िया aur gilhariyon aur mice banne ke liye cat ki diet ke liye vishesh roop se paida hui hain.,12.0,3,final_llama_matrix_en_src,Eng-Matrix,final_llama_matrix_en_src.csv,
"chūnkī mānā jātā hai ki ve garībōṁ ke paśak mein bolte hain, isliye unki āvāj more supposedly sunī jāti hai.",1.0,3,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
yeh maaan last time ka value represents ki is tarah ke sandarbhe meh used hue the.,6.0,3,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
"This diplomatic relations ke beech mein irritant hain, jo kai nations ke beech taklaaf hokar sambhav hain.",25.0,3,final_llama_matrix_hi_src,Hin-Matrix,final_llama_matrix_hi_src.csv,
antipathik bhugtan sankalan vikasvil deshon mein ek samany pravritti hai.,7.0,3,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
"jabki unko garibon ke paksh mein bolne ka maana jata hai, isliye unki aavaz adhik suni jati hai.",1.0,3,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
long-term economic recession will increase difficulties for common man.,21.0,3,final_mistral_baseline_hi_src,Hin-Matrix,final_mistral_baseline_hi_src.csv,
"aur iske saath, wo Gandhi ko janta sancharan karne ka permission bhi de diya.",11.0,3,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
"baad mein, Upara ke ladke aur ladkiyaa merii taraf se prashansaa se dekhne lage.",9.0,3,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
"choti chidiya, chuhhe aur moose lagte hain ke unhe bachchon ko khane ke liye khas banaya gaya hai.",12.0,3,final_mistral_baseline_hi_src,Eng-Matrix,final_mistral_baseline_hi_src.csv,
yeh maan jalte dhvajon ka pratinidhit karte hain jo ki is tarah ke sandarbh mein pehle baar prayukt the mein.,6.0,3,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
"jab hi koi likhne wali disk daal jaati hai, data integrity check start ho jaati hai.",19.0,3,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
ab yeh prakriya ke bas drishya pratinidhit kar rahe hain.,13.0,3,final_mistral_ect_hi_src,Hin-Matrix,final_mistral_ect_hi_src.csv,
