Participant,List_Number,Sentence_Text,Item_ID,Model,Source_Lang,Condition,Naturalness,Likelihood,Changes
R_4DpdM0YPqPB1YQL,1,`Long waali aarthik depression ke chalne se aadmi ko khatinaiyyaan degi.,21.0,Gemma,English,Matrix,2,1.0,"lambi aarthik depression ke chalne se, aadmi ko khatinaiyyaan hoti hain"
R_9J9FytFeHgBtWvt,1,"`pehle bolne ka yeh hesitancy mere liye duhkhar tha, ab woh sukhkar ho gaya hai.",3.0,Gemma,Hindi,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`pehle bolne ka yeh hesitancy mere liye duhkhar tha, ab woh sukhkar ho gaya hai.",3.0,Gemma,Hindi,Matrix,2,1.0,"pehle bolne me hesitancy mere liye duhkhad thee, ab woh nahi hai"
R_9J9FytFeHgBtWvt,1,"`chotti chiriya, gillihari aur chuhe to jaise bhelly ke liye specially created appear.",12.0,Gemma,Hindi,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`chotti chiriya, gillihari aur chuhe to jaise bhelly ke liye specially created appear.",12.0,Gemma,Hindi,Matrix,1,1.0,"chotti chiriya, gillihari aur chuhe to jaise billi ke liye bane hai"
R_9J9FytFeHgBtWvt,1,`Long time tak chalne wali economic depression ka aadmi ki hardship badha degi.,21.0,Gemma,Hindi,Matrix,3,4.0,
R_4DpdM0YPqPB1YQL,1,`Long time tak chalne wali economic depression ka aadmi ki hardship badha degi.,21.0,Gemma,Hindi,Matrix,1,1.0,long economic depression aadmi ki hardship badha degi
R_9J9FytFeHgBtWvt,1,"`iske alaavaa, unhone Ghandhi ji ko jaanch karni kee anumati bhee dee.",11.0,Llama,Hindi,Baseline,4,4.0,
R_4DpdM0YPqPB1YQL,1,"`iske alaavaa, unhone Ghandhi ji ko jaanch karni kee anumati bhee dee.",11.0,Llama,Hindi,Baseline,4,4.0,
R_9J9FytFeHgBtWvt,1,"`jahan raja aur desh saman ho, wahan vikalp ka prashn hee nahi uthata.",10.0,Llama,Hindi,Baseline,1,1.0,Hindi words are complicated for me
R_4DpdM0YPqPB1YQL,1,"`jahan raja aur desh saman ho, wahan vikalp ka prashn hee nahi uthata.",10.0,Llama,Hindi,Baseline,4,2.0,
R_9J9FytFeHgBtWvt,1,`saat vahan pahunchana bachchon se kahiye ki apne badeon se aaspaas ke gaonon aur sheheron ke naam poochh kar aayein.,26.0,Llama,Hindi,Baseline,1,1.0,I do not understand it
R_4DpdM0YPqPB1YQL,1,`saat vahan pahunchana bachchon se kahiye ki apne badeon se aaspaas ke gaonon aur sheheron ke naam poochh kar aayein.,26.0,Llama,Hindi,Baseline,3,2.0,"vahan saat pahunchana, bachchon se kahiye ki apne badeon se aaspaas ke gaonon aur sheheron ke naam poochh kar aayein"
R_9J9FytFeHgBtWvt,1,`data integrity test soon after disc insert hoga.,19.0,Llama,English,Baseline,1,1.0,Disc insert karney kai baad hoga
R_4DpdM0YPqPB1YQL,1,`data integrity test soon after disc insert hoga.,19.0,Llama,English,Baseline,1,1.0,"data integrity test, disc insert hone ke baad hoga"
R_9J9FytFeHgBtWvt,1,`bachchon ko apne bade logon se pehle wale gaon ya shahar ke naam puchhne ke liye kahen.,26.0,Llama,English,Baseline,3,3.0,
R_4DpdM0YPqPB1YQL,1,`bachchon ko apne bade logon se pehle wale gaon ya shahar ke naam puchhne ke liye kahen.,26.0,Llama,English,Baseline,4,3.0,
R_9J9FytFeHgBtWvt,1,`ve log kai vocational programmes chalate hain jinki duration alag-alag skills ke hisaab se hoti hai.,4.0,Llama,English,Baseline,2,3.0,
R_4DpdM0YPqPB1YQL,1,`ve log kai vocational programmes chalate hain jinki duration alag-alag skills ke hisaab se hoti hai.,4.0,Llama,English,Baseline,4,3.0,
R_9J9FytFeHgBtWvt,1,"`jin jagah raja aur desh saman hain, vahan vikalp ka prashn hee nahin uthata.",10.0,Llama,Hindi,ECT,3,3.0,Don’t understand the word vikalp - otherwise the sentence feels fine
R_4DpdM0YPqPB1YQL,1,"`jin jagah raja aur desh saman hain, vahan vikalp ka prashn hee nahin uthata.",10.0,Llama,Hindi,ECT,5,3.0,
R_9J9FytFeHgBtWvt,1,"`my pyare deshwaasiyon, yah kaha jata hai ki shiksha badh rahi hai.",24.0,Llama,Hindi,ECT,3,3.0,
R_4DpdM0YPqPB1YQL,1,"`my pyare deshwaasiyon, yah kaha jata hai ki shiksha badh rahi hai.",24.0,Llama,Hindi,ECT,4,2.0,
R_9J9FytFeHgBtWvt,1,`there ek ke baad ek sabhi rajaon aur raja Kumaron ne machli par nishana sathan ke ka prayaas kiya kintu safalta haath nahi laga.,30.0,Llama,Hindi,ECT,3,3.0,Would replace Sathan ke with something else like laganay ka
R_4DpdM0YPqPB1YQL,1,`there ek ke baad ek sabhi rajaon aur raja Kumaron ne machli par nishana sathan ke ka prayaas kiya kintu safalta haath nahi laga.,30.0,Llama,Hindi,ECT,3,2.0,vahaan ek ke baad ek sabhi rajaon aur raja Kumaron ne machli par nishana sathan ke ka prayaas kiya kintu safalta haath nahi laga
R_9J9FytFeHgBtWvt,1,`system ek responsible media aur ek vigilant society par nirbhar karta hai.,23.0,Llama,English,ECT,5,5.0,
R_4DpdM0YPqPB1YQL,1,`system ek responsible media aur ek vigilant society par nirbhar karta hai.,23.0,Llama,English,ECT,5,3.0,
R_9J9FytFeHgBtWvt,1,"`mere bolne ki takleef, jo ek bar ek nuksaan tha, ab khushi hai.",3.0,Llama,English,ECT,1,1.0,Do not understand 
R_4DpdM0YPqPB1YQL,1,"`mere bolne ki takleef, jo ek bar ek nuksaan tha, ab khushi hai.",3.0,Llama,English,ECT,1,1.0,
R_9J9FytFeHgBtWvt,1,`bachchon se apne viddyo ke logon se puchhna kya hai ki aas-paas ke village ya town ka naam kya hai.,26.0,Llama,English,ECT,1,1.0,
R_4DpdM0YPqPB1YQL,1,`bachchon se apne viddyo ke logon se puchhna kya hai ki aas-paas ke village ya town ka naam kya hai.,26.0,Llama,English,ECT,2,1.0,
R_9J9FytFeHgBtWvt,1,"`Adhikar se, system nirbhar hai ek jimmedaar media aur ek satark samaj par.",23.0,Llama,English,Matrix,4,4.0,
R_4DpdM0YPqPB1YQL,1,"`Adhikar se, system nirbhar hai ek jimmedaar media aur ek satark samaj par.",23.0,Llama,English,Matrix,2,1.0,
R_9J9FytFeHgBtWvt,1,"`Mujhe bolne mein पहले दुःखकर lagta tha, lekin ab yeh सुखकर lagta hai.",3.0,Llama,English,Matrix,2,2.0,I don’t use those Hindi words 
R_4DpdM0YPqPB1YQL,1,"`Mujhe bolne mein पहले दुःखकर lagta tha, lekin ab yeh सुखकर lagta hai.",3.0,Llama,English,Matrix,1,1.0,"Jo bolne mein Mujhe  पहले दुःखकर lagta tha, ab yeh सुखकर lagta hai."
R_9J9FytFeHgBtWvt,1,"`A few MT systems Japan-koriya, English-koriya ki सीमित विकसित प्रणालियां ho chuki hain.",18.0,Llama,English,Matrix,1,1.0,I don’t use those Hindi words
R_4DpdM0YPqPB1YQL,1,"`A few MT systems Japan-koriya, English-koriya ki सीमित विकसित प्रणालियां ho chuki hain.",18.0,Llama,English,Matrix,1,1.0,
R_9J9FytFeHgBtWvt,1,`long economic depression ka extreme effect man ke life par lagu hoga aur uski hardship bahut badh jayegi.,21.0,Llama,Hindi,Matrix,1,1.0,The construct feels very awkward
R_4DpdM0YPqPB1YQL,1,`long economic depression ka extreme effect man ke life par lagu hoga aur uski hardship bahut badh jayegi.,21.0,Llama,Hindi,Matrix,1,1.0,long economic depression ka extreme effect aadmi ke life par lagu hoga aur uski hardship bahut badh jayegi
R_9J9FytFeHgBtWvt,1,`wahan ek ke baad ek sabhi rajaon aur raja ko fish par nishana sadhne ka prayas kiya kintu safalta haath nahin lagee.,30.0,Llama,Hindi,Matrix,4,4.0,
R_4DpdM0YPqPB1YQL,1,`wahan ek ke baad ek sabhi rajaon aur raja ko fish par nishana sadhne ka prayas kiya kintu safalta haath nahin lagee.,30.0,Llama,Hindi,Matrix,4,3.0,
R_9J9FytFeHgBtWvt,1,"`January, 1943 mein unhone 26 announced se independence day ke baad new programmes launch karne ki announcement ki.",16.0,Llama,Hindi,Matrix,1,1.0,That does not make sense to me
R_4DpdM0YPqPB1YQL,1,"`January, 1943 mein unhone 26 announced se independence day ke baad new programmes launch karne ki announcement ki.",16.0,Llama,Hindi,Matrix,1,1.0,"26 January, 1943 mein independence day announce karne ke baad, new programmes launch karne ki announcement ki"
R_9J9FytFeHgBtWvt,1,`ye english-hindi-english dictionary mein aap aasanii se hindi aur english shabdon ka arth dhundh sakte hain.,22.0,Mistral,Hindi,Baseline,5,5.0,
R_4DpdM0YPqPB1YQL,1,`ye english-hindi-english dictionary mein aap aasanii se hindi aur english shabdon ka arth dhundh sakte hain.,22.0,Mistral,Hindi,Baseline,5,3.0,
R_9J9FytFeHgBtWvt,1,`pichli trimahi ke doora kitam vastar swikaraya sima ke antargat hee thee.,20.0,Mistral,Hindi,Baseline,1,1.0,
R_4DpdM0YPqPB1YQL,1,`pichli trimahi ke doora kitam vastar swikaraya sima ke antargat hee thee.,20.0,Mistral,Hindi,Baseline,1,1.0,
R_9J9FytFeHgBtWvt,1,"`ab yaad hai, yeh process ke bas darshan ka pratinidhi kar rahe hain.",13.0,Mistral,Hindi,Baseline,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`ab yaad hai, yeh process ke bas darshan ka pratinidhi kar rahe hain.",13.0,Mistral,Hindi,Baseline,1,1.0,
R_9J9FytFeHgBtWvt,1,`raaja aur desh ek ho toh koi alternative ka sawal hi nahin hota.,10.0,Mistral,English,Baseline,4,4.0,
R_4DpdM0YPqPB1YQL,1,`raaja aur desh ek ho toh koi alternative ka sawal hi nahin hota.,10.0,Mistral,English,Baseline,4,3.0,
R_9J9FytFeHgBtWvt,1,`data integrity test *chale ga* jab hi disc daal jae.,19.0,Mistral,English,Baseline,5,5.0,
R_4DpdM0YPqPB1YQL,1,`data integrity test *chale ga* jab hi disc daal jae.,19.0,Mistral,English,Baseline,4,3.0,
R_9J9FytFeHgBtWvt,1,`price spread last quarter me acceptable range ke within rahi thi.,20.0,Mistral,English,Baseline,5,5.0,
R_4DpdM0YPqPB1YQL,1,`price spread last quarter me acceptable range ke within rahi thi.,20.0,Mistral,English,Baseline,4,4.0,
R_9J9FytFeHgBtWvt,1,`karmachari ke karar ki samapti par uski sevaen radh kar di gayi.,8.0,Mistral,Hindi,ECT,2,1.0,
R_4DpdM0YPqPB1YQL,1,`karmachari ke karar ki samapti par uski sevaen radh kar di gayi.,8.0,Mistral,Hindi,ECT,2,1.0,
R_9J9FytFeHgBtWvt,1,"`yeh kee jaan pee jaati hai ke unkaa baat gaareebon ke liye hota hai, isliye unki aavaz zyaada sunii jaati hai.",1.0,Mistral,Hindi,ECT,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`yeh kee jaan pee jaati hai ke unkaa baat gaareebon ke liye hota hai, isliye unki aavaz zyaada sunii jaati hai.",1.0,Mistral,Hindi,ECT,1,1.0,
R_9J9FytFeHgBtWvt,1,"`choti chidiya, gilhari aur chuhe toh billee ke liye hi bane hain.",12.0,Mistral,Hindi,ECT,5,5.0,
R_4DpdM0YPqPB1YQL,1,"`choti chidiya, gilhari aur chuhe toh billee ke liye hi bane hain.",12.0,Mistral,Hindi,ECT,5,4.0,
R_9J9FytFeHgBtWvt,1,"`aur theek hai, ismey chaar museum, ek sculpture park aur ek open-air amphitheatre bhi shamil hain.",5.0,Mistral,English,ECT,4,4.0,
R_4DpdM0YPqPB1YQL,1,"`aur theek hai, ismey chaar museum, ek sculpture park aur ek open-air amphitheatre bhi shamil hain.",5.0,Mistral,English,ECT,5,4.0,
R_9J9FytFeHgBtWvt,1,"`meeting mein, applicant ne yeh maang liya ki wo Krishan Sikand se chhod jaaye.",29.0,Mistral,English,ECT,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`meeting mein, applicant ne yeh maang liya ki wo Krishan Sikand se chhod jaaye.",29.0,Mistral,English,ECT,2,1.0,
R_9J9FytFeHgBtWvt,1,"`ab to ye sirf dikkat ka ek visual representation hee hai, samajh lo.",13.0,Mistral,English,ECT,3,4.0,
R_4DpdM0YPqPB1YQL,1,"`ab to ye sirf dikkat ka ek visual representation hee hai, samajh lo.",13.0,Mistral,English,ECT,3,2.0,
R_9J9FytFeHgBtWvt,1,`kiyat ka vistan pichli timahi me swikarya siima ke andr raha tha.,20.0,Mistral,English,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,`kiyat ka vistan pichli timahi me swikarya siima ke andr raha tha.,20.0,Mistral,English,Matrix,1,1.0,
R_9J9FytFeHgBtWvt,1,`This value represents the burning dhvajon ke tarah ke sandarbh mein pichli baar pryukt hua jalte mana karta hai.,6.0,Mistral,English,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,`This value represents the burning dhvajon ke tarah ke sandarbh mein pichli baar pryukt hua jalte mana karta hai.,6.0,Mistral,English,Matrix,1,1.0,
R_9J9FytFeHgBtWvt,1,"`incident ke baad, Upara ke ladke aur ladkiyon ne meri taraf respect ke saath lagaya.",9.0,Mistral,English,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`incident ke baad, Upara ke ladke aur ladkiyon ne meri taraf respect ke saath lagaya.",9.0,Mistral,English,Matrix,1,1.0,
R_9J9FytFeHgBtWvt,1,"`jise hi koi write karne wala disc inserted ho jaye, data integrity test shuru ho jayegi.",19.0,Mistral,Hindi,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`jise hi koi write karne wala disc inserted ho jaye, data integrity test shuru ho jayegi.",19.0,Mistral,Hindi,Matrix,2,1.0,
R_9J9FytFeHgBtWvt,1,`ye medium se membership ko replace karke samaj ka physical maintenance bhi ensured hota hai.,17.0,Mistral,Hindi,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,`ye medium se membership ko replace karke samaj ka physical maintenance bhi ensured hota hai.,17.0,Mistral,Hindi,Matrix,2,1.0,
R_9J9FytFeHgBtWvt,1,"`choti birds aur squirrels to maine billi ke liye hi appear karke lagti hain.`",12.0,Mistral,Hindi,Matrix,1,1.0,
R_4DpdM0YPqPB1YQL,1,"`choti birds aur squirrels to maine billi ke liye hi appear karke lagti hain.` ",12.0,Mistral,Hindi,Matrix,1,1.0,
R_8OoiSKJY8ebiLjX,2,ladkiya phir fail ho gaye... boys are toppers,,Human,N/A,Human_Ref,4,,Ladkiyan phir fail ho gayi
R_917mR3ox6FjPOwr,2,ladkiya phir fail ho gaye... boys are toppers,,Human,N/A,Human_Ref,4,1.0,"Ladkiyan phir fail ho gaye, aur boys phir top kiye ... though I think it's usually the other way around in India :)"
R_8OoiSKJY8ebiLjX,2,"`Waise Shiv ji ki anniversary bhi hai aaj, unko tribute bhi hogaya aur apne India team ke batsmen ko bhi. Bahot hi gehra tweet!",,Human,N/A,Human_Ref,1,1.0,Bahut hi gehra tweet makes no sense
R_917mR3ox6FjPOwr,2,"`Waise Shiv ji ki anniversary bhi hai aaj, unko tribute bhi hogaya aur apne India team ke batsmen ko bhi. Bahot hi gehra tweet!",,Human,N/A,Human_Ref,4,4.0,"Nothing. Just that I don't tweet or follow cricket .. so not something I'd say, but the sentence reads fine to me "
R_8OoiSKJY8ebiLjX,2,`tu bi this thread karne laga bhai?,,Human,N/A,Human_Ref,2,2.0,Tu bhi yeh thread karne laga bhai
R_917mR3ox6FjPOwr,2,`tu bi this thread karne laga bhai?,,Human,N/A,Human_Ref,2,1.0,I don't know what 'this thread' means 
R_8OoiSKJY8ebiLjX,2,`ye rashtaron ke kutneetik sambandhon ke beech kirkiri saabit ho sakti hai.,25.0,Gemma,Hindi,Baseline,3,1.0,Nothing
R_917mR3ox6FjPOwr,2,`ye rashtaron ke kutneetik sambandhon ke beech kirkiri saabit ho sakti hai.,25.0,Gemma,Hindi,Baseline,1,1.0,The Hindi is too high falutin for me
R_8OoiSKJY8ebiLjX,2,`january 1943 mein unhone 26 tarikh swadheenata divas se naye karyakram shuru karne ki ghoosna ki.,16.0,Gemma,Hindi,Baseline,5,5.0,Nothing 
R_917mR3ox6FjPOwr,2,`january 1943 mein unhone 26 tarikh swadheenata divas se naye karyakram shuru karne ki ghoosna ki.,16.0,Gemma,Hindi,Baseline,2,1.0,Some words are difficult for me to understand here .. ghoosna .. not sure what it means 
R_8OoiSKJY8ebiLjX,2,`negative payment balance vikasheel deshon mein ek common trend hai.,7.0,Gemma,Hindi,Baseline,2,1.0,Nothing 
R_917mR3ox6FjPOwr,2,`negative payment balance vikasheel deshon mein ek common trend hai.,7.0,Gemma,Hindi,Baseline,3,2.0,The word vikasheel .. not sure what it means .. 
R_8OoiSKJY8ebiLjX,2,`and because they supposedly bolte hain for the gareeb their aawaz gets heard more.,1.0,Gemma,English,Baseline,4,4.0,And because woh supposedly gareebon ke liye boltey hain unki awaaz gets heard more
R_917mR3ox6FjPOwr,2,`and because they supposedly bolte hain for the gareeb their aawaz gets heard more.,1.0,Gemma,English,Baseline,3,2.0,I would change bolte hain to speak .. it fits better 
R_8OoiSKJY8ebiLjX,2,`okay.,13.0,Gemma,English,Baseline,5,5.0,Nothin
R_917mR3ox6FjPOwr,2,`okay.,13.0,Gemma,English,Baseline,5,5.0,Nothing
R_8OoiSKJY8ebiLjX,2,`it can become irritant in the diplomatic relations between nations.,25.0,Gemma,English,Baseline,1,4.0,It can become an irritant in the diplomatic relations between nations 
R_917mR3ox6FjPOwr,2,`it can become irritant in the diplomatic relations between nations.,25.0,Gemma,English,Baseline,4,1.0,"I would say ""an irritant"""
R_8OoiSKJY8ebiLjX,2,"`iske alava, yeh vyavastha jimmedar media aur satark samaj par nirbhar hai.",23.0,Gemma,Hindi,ECT,2,,Iske ilaawa yeh vyavasthaa zimedaar media aur satark samaaj par nirbhar hai
R_917mR3ox6FjPOwr,2,"`iske alava, yeh vyavastha jimmedar media aur satark samaj par nirbhar hai.",23.0,Gemma,Hindi,ECT,2,1.0,Too complex for me .. the words 
R_8OoiSKJY8ebiLjX,2,"`chunki maana jaata hai ki ve gareebon ke paax mein bolte hain, isliye unki aawaz zyada suni jaati hai.",1.0,Gemma,Hindi,ECT,1,,Kyuoonki maana jaata hai key woh gareebon ke paksh mein bolte hain isliye unki aawaaz zyaadaa suni jaati hai
R_917mR3ox6FjPOwr,2,"`chunki maana jaata hai ki ve gareebon ke paax mein bolte hain, isliye unki aawaz zyada suni jaati hai.",1.0,Gemma,Hindi,ECT,3,1.0,Not sure what the intent is ...don't understand chunki .. paax .. 
R_8OoiSKJY8ebiLjX,2,`lambaa samay tak chalne wali aarthik mandi aam aadmi ki kathinaaiyan badha degi.,21.0,Gemma,Hindi,ECT,1,2.0,Lambey  samay tak chalne waali  aarthik mandi aam aadmi ki kathinanyiaan badha degi
R_917mR3ox6FjPOwr,2,`lambaa samay tak chalne wali aarthik mandi aam aadmi ki kathinaaiyan badha degi.,21.0,Gemma,Hindi,ECT,3,1.0,Too many tough words .. aarthik mandi .. 
R_8OoiSKJY8ebiLjX,2,`data integrity test jab disc lagayenge tab se shuru hoga.,19.0,Gemma,English,ECT,5,4.0,Nothing 
R_917mR3ox6FjPOwr,2,`data integrity test jab disc lagayenge tab se shuru hoga.,19.0,Gemma,English,ECT,5,4.0,I'd say 'jab scan run karegne' .. 
R_8OoiSKJY8ebiLjX,2,`system ko ek responsible media aur ek vigilant society par depend karta hai.,23.0,Gemma,English,ECT,1,1.0,System ek responsible  media aur ek vigilant society par depend karta hai
R_917mR3ox6FjPOwr,2,`system ko ek responsible media aur ek vigilant society par depend karta hai.,23.0,Gemma,English,ECT,4,5.0,I would not say 'system ko' .. I'd just say 'system ek responsible media ...'
R_8OoiSKJY8ebiLjX,2,"`my countrymen, yeh kaha hai ki seekhna growing hai.",24.0,Gemma,English,ECT,1,2.0,My country men yeh kahaa jaata hai ki seekhna growing  hai
R_917mR3ox6FjPOwr,2,"`my countrymen, yeh kaha hai ki seekhna growing hai.",24.0,Gemma,English,ECT,3,,I'd say yeh kahaa jaata hai .. and maybe I'd say seekhne se growth aata hai / hota hai 
R_8OoiSKJY8ebiLjX,2,"`भारत दावा करता है 111 परिक्षेत्रों वाले एकड़े 17,000 क्षेत्रफल बांग्लदेश सीमा में फैले हुए हैं.",27.0,Gemma,English,Matrix,3,1.0,Don't know. 
R_917mR3ox6FjPOwr,2,"`भारत दावा करता है 111 परिक्षेत्रों वाले एकड़े 17,000 क्षेत्रफल बांग्लदेश सीमा में फैले हुए हैं.",27.0,Gemma,English,Matrix,2,1.0,Don't know what parkshetron is and also what ekde is
R_8OoiSKJY8ebiLjX,2,`bachaon ko  aaspaas gaonon ke naam  pur  badon se poochh kahin.,26.0,Gemma,English,Matrix,1,1.0,Bachon  ke aaspaas gaaon ke naam pur badon se poocho kahin
R_917mR3ox6FjPOwr,2,`bachaon ko  aaspaas gaonon ke naam  pur  badon se poochh kahin.,26.0,Gemma,English,Matrix,1,1.0,Don't understand what this means .. too many unfamiliar words 
R_8OoiSKJY8ebiLjX,2,"`Now remember, these are just bus drshi pratiNidhItv of the process.",13.0,Gemma,English,Matrix,2,1.0,Nothing 
